Filename,High School,Bachelor,Master,Ethnicity
cv_0.pdf,BORG und Bundeshandelsschule für Leistsungssportler St.,Universität Wien - Slawistik,Universität Wien - Physik,Quechua
cv_1.pdf,"BORG Ternitz Schulcampus Dr. Heinz Fischer, Ternitz",FH Wiener Neustadt - Allgemeine Gesundheits- und,Universität Wien - Politikwissenschaft,Kazakh
cv_2.pdf,"BG und BRG Graz Seebachergasse, Graz",FH Oberösterreich - Social Work,Universität Wien - Deutsche Philologie,Ewe
cv_3.pdf,Bundeshandelsakademie und Bundeshandelsschule I,FH Joanneum - Advanced Electronic Engineering,Universität Wien - Informatik,Vietnamese
cv_4.pdf,HTBLuVA Villach,Master:,Projects:,Tuareg
cv_5.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Innsbruck - Informatik,Universität Wien - Sprachwissenschaft,Quechua
cv_6.pdf,HTBL Krems,"BOKU University (Universität für Bodenkultur Wien) - Weinbau,",Projects: Entwicklung eines Konzepts zur Kreislaufwirtschaft für,Yoruba
cv_7.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,Projects: Konzeption und Durchführung einer crossmedialen,Samoan
cv_8.pdf,Bundeshandelsakademie und Bundeshandelsschule -,Universität Graz - Umweltsystemwissenschaften,Projects: Implementation eines neuen Customer Relationship Management,Berber
cv_9.pdf,"BG/BRG und HLW Köflach, Köflach",Master:,Projects: Implementierung eines CSR-Reportingsystems nach,Tibetan
cv_10.pdf,HTL für Lebensmitteltechnologie Hollabrunn,Universität Innsbruck - Soziologie,Universität Wien - Altertumswissenschaften,Bengali
cv_11.pdf,"BG und BRG Waidhofen an der Thaya, Waidhofen an der",FH Campus Wien - Integriertes Sicherheitsmanagement,Projects: Optimierung des Vertriebsprozesses durch Einführung eines,Ukrainian
cv_12.pdf,"BG BRG Graz Marschallgasse, Graz",Universität Salzburg - Politikwissenschaft,Universität Wien - Geographie,Pashtun
cv_13.pdf,HTBLuVA Mödling,FH Oberösterreich - International Logistics Management,Projects:,Pashtun
cv_14.pdf,Bundeshandelsakademie und Bundeshandelsschule,FH Campus Wien - Clinical Engineering,Technische Universität Wien - Architektur,Ewe
cv_15.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Wien - Geschichte,Technische Universität Wien,Igbo
cv_16.pdf,HTL Wels,Master:,"Projects: Entwicklung und Umsetzung einer Influencer-Marketing-Strategie,",Kazakh
cv_17.pdf,Bundeshandelsakademie und Bundeshandelsschule Liezen,Master:,Projects:,Oromo
cv_18.pdf,HTL Braunau,BOKU University (Universität für Bodenkultur Wien) -,Technische Universität Wien - Maschinenbau,English
cv_19.pdf,HTBLuVA Mödling,Master:,"Projects: Implementierung eines Marketing-Automatisierungssystems,",Métis
cv_20.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,Projects: Durchführung einer Grundlagenforschung im Bereich der,Spanish
cv_21.pdf,"BRG Graz Petersgasse, Graz",Universität Wien - Translationswissenschaft,Technische Universität Wien - Raumplanung und Raumordnung,Bengali
cv_22.pdf,Bundeshandelsakademie und Bundeshandelsschule Wörgl,Master:,Projects: Erstellung eines Finanzmodells zur Bewertung von,Vietnamese
cv_23.pdf,"BG/BRG und HLW Köflach, Köflach",Master:,Projects: Einführung eines leistungsbasierten Vergütungssystems,English
cv_24.pdf,HTBLuVA Pinkafeld,Master:,Projects: Konzeption und Durchführung einer crossmedialen,Coptic
cv_25.pdf,"BORG Ternitz Schulcampus Dr. Heinz Fischer, Ternitz",FH Wiener Neustadt - Mechatronik,Projects: Entwicklung eines Konzepts zur Kreislaufwirtschaft für,Spanish
cv_26.pdf,Bundeshandelsakademie und Bundeshandelsschule -,Universität Innsbruck - Soziologie,Universität Wien - Chemie,Polish
cv_27.pdf,Bundeshandelsakademie und Bundeshandelsschule Wien,Master:,"Projects: Entwicklung und Umsetzung einer Diversity & Inclusion Strategie,",Bengali
cv_28.pdf,"Bundesrealgymnasium Schuhmeierplatz, Wien-Ottakring",Master:,Projects: Entwicklung und Implementierung einer unternehmensweiten,German
cv_29.pdf,Bundeshandelsakademie und Bundeshandelsschule -,FH Technikum Wien - Innovation and Technology Management,"Projects: Entwicklung eines chatbotbasierten Kundenservice-Systems,",Somali
cv_30.pdf,HTBLuVA Villach,Master:,Projects: Leitung eines interdisziplinären Teams zur Entwicklung eines,Zulu
cv_31.pdf,"BG und BRG Graz Klusemannstraße, Graz",FH Joanneum - Journalismus und Public Relations,Universität Wien - Theaterwissenschaft,Bengali
cv_32.pdf,"BG und BRG Graz Klusemannstraße, Graz",FH Oberösterreich - Digital Business Management,Universität Wien - Sprachwissenschaft,Bengali
cv_33.pdf,Bundeshandelsakademie und Bundeshandelsschule Wels,Universität Salzburg - Kunstgeschichte,Universität Wien - Wirtschaftswissenschaften,Tamil
cv_34.pdf,"Amerlinggymnasium, Wien",Technische Universität Wien - Raumplanung und Raumordnung,Universität Wien - Physik,Mohawk
cv_35.pdf,Bundeshandelsakademie und Bundeshandelsschule Wels,Master:,Projects: Entwicklung eines nachhaltigen Verpackungskonzepts für die,Tibetan
cv_36.pdf,HTBLuVA Wiener Neustadt,Universität Graz - Geographie,Universität Wien - Soziologie,Basque
cv_37.pdf,"BG und BRG Graz Seebachergasse, Graz",FH Oberösterreich - Innovation Engineering and Management,Universität Wien - Japanologie,Roma
cv_38.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Wien - Chemie,Universität Wien - Archäologie,Scandinavian
cv_39.pdf,HTL Wels,Master:,Projects: Erstellung eines Finanzmodells zur Bewertung von,Uzbek
cv_40.pdf,HTBLuVA Wiener Neustadt,Master:,Projects: Konzeption und Durchführung klinischer Studien für ein neues,Inuit
cv_41.pdf,IT-HTL Ybbs,Universität Wien - Philosophie,Universität Wien - Klassische Philologie,Amhara
cv_42.pdf,"BG und BRG Graz Carnerigasse, Graz",Universität Wien - Deutsche Philologie,Projects:,Polish
cv_43.pdf,"BORG Ternitz Schulcampus Dr. Heinz Fischer, Ternitz",FH Wiener Neustadt - Informatik,Universität Wien - Geschichte,Tahitian
cv_44.pdf,"BRG Graz Körösistraße, Graz",FH Technikum Wien - Renewable Energy Systems,Universität Wien - Amerikanistik,Arab
cv_45.pdf,Bundeshandelsakademie und Bundeshandelsschule Graz,FH Wiener Neustadt - Ergotherapie,Universität Wien - Deutsche Philologie,Navajo
cv_46.pdf,HTBLuVA St. Pölten,FH Oberösterreich - Automotive Computing,Projects: Durchführung einer umfassenden Marktanalyse für ein neues,Mohawk
cv_47.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,Projects: Implementierung eines CSR-Reportingsystems nach,Ukrainian
cv_48.pdf,Bundeshandelsakademie und Bundeshandelsschule -,Master:,Projects: Konzeption und Durchführung klinischer Studien für ein neues,Inuit
cv_49.pdf,"BG Graz Pestalozzistraße, Graz",Universität Innsbruck - Medizin,Universität Wien - Physik,Aboriginal Australian
cv_50.pdf,"BORG Ternitz Schulcampus Dr. Heinz Fischer, Ternitz",Master:,Projects: Konzeption und Umsetzung eines Programms zur Förderung der,Inuit
cv_51.pdf,"BG BRG und BORG Hartberg, Hartberg",Universität Graz - Mathematik,Universität Wien - Europäische Ethnologie,Celtic
cv_52.pdf,"BG BRG Graz Marschallgasse, Graz",FH Oberösterreich - Interactive Media,Universität Wien - Chemie,Métis
cv_53.pdf,"Wiedner Gymnasium, Wien",Universität Graz - Mathematik,Universität Wien - Mathematik,Tibetan
cv_54.pdf,"BG und BRG Graz Seebachergasse, Graz",Master:,Projects: Erstellung eines Finanzmodells zur Bewertung von,Hmong
cv_55.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,"Projects: Entwicklung eines Prototyps für ein autonomes Fahrzeug,",Finnish
cv_56.pdf,Bundeshandelsakademie und Bundeshandelsschule,Universität Wien - Geographie,Universität Wien - Romanistik,Aboriginal Australian
cv_57.pdf,BORG und Bundeshandelsschule für Leistsungssportler St.,Master:,Projects: Implementierung eines unternehmensweiten Enterprise Resource,Shona
cv_58.pdf,Bundeshandelsakademie und Bundeshandelsschule -,Universität Wien - Musikwissenschaft,Technische Universität Wien - Maschinenbau,Scandinavian
cv_59.pdf,HTL Waidhofen an der Ybbs,Master:,Projects: Implementierung eines CSR-Reportingsystems nach,Ukrainian
cv_60.pdf,"BG Wiener Neustradt Babenbergerring, Wiener Neustadt",Universität Salzburg - Informatik,Universität Wien - Sprachwissenschaft,Finnish
cv_61.pdf,Bundeshandelsakademie und Bundeshandelsschule,Master:,Projects: Konzeption und Durchführung eines,Berber
cv_62.pdf,HTL für Lebensmitteltechnologie Hollabrunn,Master:,Projects: Implementierung eines CSR-Reportingsystems nach,Hausa
cv_63.pdf,"BG und BRG Sankt Pölten Josefstraße, St. Pölten",Universität Wien - Klassische Philologie,Technische Universität Wien,Italian
cv_64.pdf,"BG und BRG Graz Dreihackengasse, Graz",Universität Wien - Slawistik,Universität Wien - Theaterwissenschaft,Malay
cv_65.pdf,"BG und BRG Waidhofen an der Thaya, Waidhofen an der",Master:,Projects: Konzeption und Durchführung einer crossmedialen,Somali
cv_66.pdf,"BG und BORG Graz-Liebenau, Graz",FH Campus Wien - Computer Science and Digital,Projects: Implementierung eines neuen Buchhaltungssystems zur,Samoan
