Filename,High School,Bachelor,Master,Ethnicity
cv_0.pdf,Bachelor:,Master:,Projects:,Aboriginal Australian
cv_1.pdf,Bachelor:,Master:,Projects:,Russian
cv_2.pdf,Bachelor:,Master:,Projects:,Métis
cv_3.pdf,Bachelor:,Master:,Projects:,Polish
cv_4.pdf,Bachelor:,Master:,Projects:,Persian
cv_5.pdf,Bachelor:,Master:,Projects:,Persian
cv_6.pdf,Bachelor:,Master:,Projects:,Pashtun
cv_7.pdf,Bachelor:,Master:,Projects:,Navajo
cv_8.pdf,Bachelor:,Master:,Projects:,Rohingya
cv_9.pdf,Bachelor:,Master:,Projects:,Afro-Latin American
cv_10.pdf,Bachelor:,Master:,Projects:,Roma
cv_11.pdf,Bachelor:,Master:,Projects:,Persian
cv_12.pdf,Bachelor:,Master:,Projects:,Mohawk
cv_13.pdf,Bachelor:,Master:,Projects:,Maasai
cv_14.pdf,Bachelor:,Master:,Projects:,Korean
cv_15.pdf,Bachelor:,Master:,Projects:,Berber
cv_16.pdf,Bachelor:,Master:,Projects:,Pashtun
cv_17.pdf,Bachelor:,Master:,Projects:,Kikuyu
cv_18.pdf,Bachelor:,Master:,Projects:,Dutch
cv_19.pdf,Bachelor:,Master:,Projects:,Cherokee
cv_20.pdf,Bachelor:,Master:,Projects:,Coptic
cv_21.pdf,Bachelor:,Master:,Projects:,Oromo
cv_22.pdf,Bachelor:,Master:,Projects:,Navajo
cv_23.pdf,Bachelor:,Master:,Projects:,Spanish
cv_24.pdf,Bachelor:,Master:,Projects:,Shona
cv_25.pdf,Bachelor:,Master:,Projects:,Russian
cv_26.pdf,Bachelor:,Master:,Projects:,Samoan
cv_27.pdf,Bachelor:,Master:,Projects:,Finnish
cv_28.pdf,Bachelor:,Master:,Projects:,Pashtun
cv_29.pdf,Bachelor:,Master:,Projects:,German
cv_30.pdf,Bachelor:,Master:,Projects:,Uyghur
cv_31.pdf,Bachelor:,Master:,Projects:,Albanian
cv_32.pdf,Bachelor:,Master:,Projects:,Mongol
cv_33.pdf,Bachelor:,Master:,Projects:,Turkish
cv_34.pdf,Bachelor:,Master:,Projects:,Hmong
cv_35.pdf,Bachelor:,Master:,Projects:,Hungarian
cv_36.pdf,Bachelor:,Master:,Projects:,Mongol
cv_37.pdf,Bachelor:,Master:,Projects:,Rohingya
cv_38.pdf,Bachelor:,Master:,Projects:,Tahitian
cv_39.pdf,Bachelor:,Master:,Projects:,Ewe
cv_40.pdf,Bachelor:,Master:,Projects:,Maasai
cv_41.pdf,Bachelor:,Master:,Projects:,Baloch
cv_42.pdf,Bachelor:,Master:,Projects:,Celtic
cv_43.pdf,Bachelor:,Master:,Projects:,Uyghur
